"filename", "language", "JavaScript JSX", "JavaScript", "CSS", "TypeScript", "comment", "blank", "total"
"/Users/nevdread/dev/devAds/designStudio/client/src/App.jsx", "JavaScript JSX", 39, 0, 0, 0, 0, 3, 42
"/Users/nevdread/dev/devAds/designStudio/client/src/components/ElementMetaModal.jsx", "JavaScript JSX", 254, 0, 0, 0, 4, 14, 272
"/Users/nevdread/dev/devAds/designStudio/client/src/components/Modal.jsx", "JavaScript JSX", 30, 0, 0, 0, 1, 4, 35
"/Users/nevdread/dev/devAds/designStudio/client/src/components/Navbar.jsx", "JavaScript JSX", 243, 0, 0, 0, 13, 16, 272
"/Users/nevdread/dev/devAds/designStudio/client/src/components/ProjectContext.jsx", "JavaScript JSX", 18, 0, 0, 0, 0, 5, 23
"/Users/nevdread/dev/devAds/designStudio/client/src/components/Search.jsx", "JavaScript JSX", 73, 0, 0, 0, 3, 6, 82
"/Users/nevdread/dev/devAds/designStudio/client/src/components/SearchIcon.jsx", "JavaScript JSX", 28, 0, 0, 0, 0, 1, 29
"/Users/nevdread/dev/devAds/designStudio/client/src/components/Sidebar.jsx", "JavaScript JSX", 85, 0, 0, 0, 6, 11, 102
"/Users/nevdread/dev/devAds/designStudio/client/src/components/hooks/useDebounce.jsx", "JavaScript JSX", 14, 0, 0, 0, 0, 6, 20
"/Users/nevdread/dev/devAds/designStudio/client/src/components/hooks/useDebounce.test.js", "JavaScript", 0, 31, 0, 0, 6, 12, 49
"/Users/nevdread/dev/devAds/designStudio/client/src/components/hooks/useHistory.jsx", "JavaScript JSX", 30, 0, 0, 0, 7, 7, 44
"/Users/nevdread/dev/devAds/designStudio/client/src/components/hooks/useHistory.test.js", "JavaScript", 0, 33, 0, 0, 0, 15, 48
"/Users/nevdread/dev/devAds/designStudio/client/src/components/hooks/usePressedKeys.jsx", "JavaScript JSX", 24, 0, 0, 0, 0, 7, 31
"/Users/nevdread/dev/devAds/designStudio/client/src/components/hooks/usePressedKeys.test.js", "JavaScript", 0, 17, 0, 0, 1, 6, 24
"/Users/nevdread/dev/devAds/designStudio/client/src/components/loyout/ProtectedLayout.jsx", "JavaScript JSX", 96, 0, 0, 0, 3, 16, 115
"/Users/nevdread/dev/devAds/designStudio/client/src/index.css", "CSS", 0, 0, 3, 0, 0, 2, 5
"/Users/nevdread/dev/devAds/designStudio/client/src/index.js", "JavaScript", 0, 20, 0, 0, 0, 2, 22
"/Users/nevdread/dev/devAds/designStudio/client/src/pages/Change.jsx", "JavaScript JSX", 75, 0, 0, 0, 2, 12, 89
"/Users/nevdread/dev/devAds/designStudio/client/src/pages/Forgot.jsx", "JavaScript JSX", 68, 0, 0, 0, 2, 9, 79
"/Users/nevdread/dev/devAds/designStudio/client/src/pages/GoogleAuth.jsx", "JavaScript JSX", 50, 0, 0, 0, 0, 3, 53
"/Users/nevdread/dev/devAds/designStudio/client/src/pages/Home.jsx", "JavaScript JSX", 202, 0, 0, 0, 0, 16, 218
"/Users/nevdread/dev/devAds/designStudio/client/src/pages/Icons.jsx", "JavaScript JSX", 39, 0, 0, 0, 2, 5, 46
"/Users/nevdread/dev/devAds/designStudio/client/src/pages/Icons.test.js", "JavaScript", 0, 32, 0, 0, 0, 5, 37
"/Users/nevdread/dev/devAds/designStudio/client/src/pages/Login.jsx", "JavaScript JSX", 82, 0, 0, 0, 2, 7, 91
"/Users/nevdread/dev/devAds/designStudio/client/src/pages/Project.jsx", "JavaScript JSX", 413, 0, 0, 0, 57, 41, 511
"/Users/nevdread/dev/devAds/designStudio/client/src/pages/ReadmeViewer.jsx", "JavaScript JSX", 11, 0, 0, 0, 11, 7, 29
"/Users/nevdread/dev/devAds/designStudio/client/src/pages/Recents.jsx", "JavaScript JSX", 44, 0, 0, 0, 0, 5, 49
"/Users/nevdread/dev/devAds/designStudio/client/src/pages/Register.jsx", "JavaScript JSX", 92, 0, 0, 0, 2, 9, 103
"/Users/nevdread/dev/devAds/designStudio/client/src/pages/Submit.jsx", "JavaScript JSX", 47, 0, 0, 0, 0, 5, 52
"/Users/nevdread/dev/devAds/designStudio/client/src/pages/Verify.jsx", "JavaScript JSX", 54, 0, 0, 0, 2, 6, 62
"/Users/nevdread/dev/devAds/designStudio/client/src/pages/WorkSpace.jsx", "JavaScript JSX", 1490, 0, 0, 0, 57, 119, 1666
"/Users/nevdread/dev/devAds/designStudio/client/src/utils/attachShapes.js", "JavaScript", 0, 59, 0, 0, 18, 21, 98
"/Users/nevdread/dev/devAds/designStudio/client/src/utils/codestub.js", "JavaScript", 0, 183, 0, 0, 7, 71, 261
"/Users/nevdread/dev/devAds/designStudio/client/src/utils/constants.js", "JavaScript", 0, 4, 0, 0, 0, 1, 5
"/Users/nevdread/dev/devAds/designStudio/client/src/utils/createElement.js", "JavaScript", 0, 93, 0, 0, 0, 8, 101
"/Users/nevdread/dev/devAds/designStudio/client/src/utils/drawElement.js", "JavaScript", 0, 169, 0, 0, 17, 23, 209
"/Users/nevdread/dev/devAds/designStudio/client/src/utils/functions.js", "JavaScript", 0, 6, 0, 0, 0, 3, 9
"/Users/nevdread/dev/devAds/designStudio/client/src/utils/getGoogleUrl.js", "JavaScript", 0, 17, 0, 0, 0, 6, 23
"/Users/nevdread/dev/devAds/designStudio/client/src/utils/nodeFilterUpdater.js", "JavaScript", 0, 213, 0, 0, 13, 19, 245
"/Users/nevdread/dev/devAds/designStudio/client/src/utils/positionFunctions.js", "JavaScript", 0, 184, 0, 0, 1, 20, 205
"/Users/nevdread/dev/devAds/designStudio/client/src/utils/updateElement.js", "JavaScript", 0, 132, 0, 0, 0, 7, 139
"/Users/nevdread/dev/devAds/designStudio/client/src/utils/validateElements.js", "JavaScript", 0, 54, 0, 0, 2, 13, 69
"/Users/nevdread/dev/devAds/designStudio/server/src/app.ts", "TypeScript", 0, 0, 0, -31, -17, -16, -64
"/Users/nevdread/dev/devAds/designStudio/server/src/controller/session.controller.ts", "TypeScript", 0, 0, 0, -127, -18, -37, -182
"/Users/nevdread/dev/devAds/designStudio/server/src/controller/user.controller.ts", "TypeScript", 0, 0, 0, -128, -12, -29, -169
"/Users/nevdread/dev/devAds/designStudio/server/src/controller/workspace.controller.ts", "TypeScript", 0, 0, 0, -234, -3, -48, -285
"/Users/nevdread/dev/devAds/designStudio/server/src/middleware/deserializeUser.ts", "TypeScript", 0, 0, 0, -47, -2, -16, -65
"/Users/nevdread/dev/devAds/designStudio/server/src/middleware/requireDesigner.ts", "TypeScript", 0, 0, 0, -13, 0, -7, -20
"/Users/nevdread/dev/devAds/designStudio/server/src/middleware/requireUser.ts", "TypeScript", 0, 0, 0, -10, 0, -5, -15
"/Users/nevdread/dev/devAds/designStudio/server/src/middleware/validateResource.ts", "TypeScript", 0, 0, 0, -17, 0, -3, -20
"/Users/nevdread/dev/devAds/designStudio/server/src/models/project.model.ts", "TypeScript", 0, 0, 0, -22, 0, -7, -29
"/Users/nevdread/dev/devAds/designStudio/server/src/models/projectElements.model.ts", "TypeScript", 0, 0, 0, -50, -1, -8, -59
"/Users/nevdread/dev/devAds/designStudio/server/src/models/session.model.ts", "TypeScript", 0, 0, 0, -21, 0, -5, -26
"/Users/nevdread/dev/devAds/designStudio/server/src/models/user.model.ts", "TypeScript", 0, 0, 0, -100, -1, -14, -115
"/Users/nevdread/dev/devAds/designStudio/server/src/models/workspace.model.ts", "TypeScript", 0, 0, 0, -32, -1, -7, -40
"/Users/nevdread/dev/devAds/designStudio/server/src/routes.ts", "TypeScript", 0, 0, 0, -183, -6, -25, -214
"/Users/nevdread/dev/devAds/designStudio/server/src/schema/session.schema.ts", "TypeScript", 0, 0, 0, -12, -52, -4, -68
"/Users/nevdread/dev/devAds/designStudio/server/src/schema/user.schema.ts", "TypeScript", 0, 0, 0, -67, -38, -7, -112
"/Users/nevdread/dev/devAds/designStudio/server/src/schema/workspace.schema.ts", "TypeScript", 0, 0, 0, -140, -50, -31, -221
"/Users/nevdread/dev/devAds/designStudio/server/src/service/session.service.ts", "TypeScript", 0, 0, 0, -37, 0, -16, -53
"/Users/nevdread/dev/devAds/designStudio/server/src/service/user.service.ts", "TypeScript", 0, 0, 0, -212, -16, -35, -263
"/Users/nevdread/dev/devAds/designStudio/server/src/service/workspace.service.ts", "TypeScript", 0, 0, 0, -327, -27, -43, -397
"/Users/nevdread/dev/devAds/designStudio/server/src/utils/connect.ts", "TypeScript", 0, 0, 0, -14, 0, -3, -17
"/Users/nevdread/dev/devAds/designStudio/server/src/utils/jwt.utils.ts", "TypeScript", 0, 0, 0, -27, 0, -4, -31
"/Users/nevdread/dev/devAds/designStudio/server/src/utils/logger.ts", "TypeScript", 0, 0, 0, -14, -5, -4, -23
"/Users/nevdread/dev/devAds/designStudio/server/src/utils/mailter.ts", "TypeScript", 0, 0, 0, -29, -5, -8, -42
"/Users/nevdread/dev/devAds/designStudio/server/src/utils/metrics.ts", "TypeScript", 0, 0, 0, -25, 0, -9, -34
"/Users/nevdread/dev/devAds/designStudio/server/src/utils/swagger.ts", "TypeScript", 0, 0, 0, -39, -2, -7, -48
"Total", "-", 3601, 1247, 3, -1958, -17, 176, 3052